FID,Pack_ID,Year,Month,Prey_spp
6,Whitewater Lake,2016,1,Moose
7,Whitewater Lake,2016,1,Moose
8,Whitewater Lake,2016,1,Elk
9,Whitewater Lake,2016,1,Moose
11,Baldy Lake,2016,2,Moose
16,Gunn Lake,2016,2,Elk
17,Gunn Lake,2016,2,Elk
20,Gunn Lake,2016,1,Elk
26,Baldy Lake,2016,1,Elk
35,Whitewater Lake,2016,2,Moose
36,Whitewater Lake,2016,2,Moose
39,Whitewater Lake,2016,2,Moose
40,Baldy Lake,2016,2,Moose
43,Gunn Lake,2016,1,Moose
44,Gunn Lake,2016,2,Beaver
47,Baldy Lake,2016,2,Moose
49,Whitewater Lake,2016,2,Elk
65,Whitewater Lake,2016,2,Moose
66,Gunn Lake,2016,2,Moose
68,Gunn Lake,2016,3,Moose
69,Baldy Lake,2016,2,Moose
71,Gunn Lake,2016,2,Moose
72,Whitewater Lake,2016,2,Moose
74,Whitewater Lake,2016,3,Moose
80,Whitewater Lake,2016,3,Moose
81,Baldy Lake,2016,3,Moose
83,Baldy Lake,2016,3,WTD
87,Whitewater Lake,2016,3,Elk
90,Gunn Lake,2016,3,Moose
91,Whitewater Lake,2016,2,Elk
92,Gunn Lake,2016,3,Moose
99,Whitewater Lake,2016,3,Elk
102,Baldy Lake,2016,3,Moose
105,Gunn Lake,2016,3,Moose
107,Whitewater Lake,2016,3,Elk
108,Whitewater Lake,2016,4,Moose
118,Baldy Lake,2016,2,WTD
121,Whitewater Lake,2016,3,Moose
127,Gunn Lake,2016,4,Moose
129,Gunn Lake,2016,3,Moose
142,Whitewater Lake,2016,4,Moose
143,Whitewater Lake,2016,3,Moose
144,Whitewater Lake,2016,3,Beaver
145,Whitewater Lake,2016,4,Elk
147,Baldy Lake,2016,4,Moose
149,Baldy Lake,2016,4,Moose
150,Baldy Lake,2016,4,Moose
155,Baldy Lake,2016,3,Beaver
160,Whitewater Lake,2016,4,WTD
195,Whitewater Lake,2016,4,WTD
341,Baldy Lake,2017,1,Moose
348,Baldy Lake,2017,1,Moose
351,Baldy Lake,2017,1,Moose
361,Lake Audy,2017,2,Moose
365,Lake Audy,2017,2,Moose
372,Spruce Lake,2017,2,Moose
373,Birdtail Valley,2017,2,Moose
374,Spruce Lake,2017,2,Moose
375,Lake Audy,2017,2,WTD
377,Lake Audy,2017,2,WTD
382,Birdtail Valley,2017,2,Moose
383,Birdtail Valley,2017,2,Moose
384,Birdtail Valley,2017,2,Moose
387,Lake Audy,2017,2,WTD
394,Lake Audy,2017,2,Moose
395,Birdtail Valley,2017,2,Moose
396,Birdtail Valley,2017,2,WTD
398,Block,2017,2,Moose
400,Ranch Creek,2017,3,WTD
404,Lake Audy,2017,3,WTD
407,Lake Audy,2017,3,Elk
409,Lake Audy,2017,3,Moose
410,Lake Audy,2017,3,Moose
412,Birdtail Valley,2017,3,WTD
413,Birdtail Valley,2017,3,Elk
415,Birdtail Valley,2017,3,Moose
416,Birdtail Valley,2017,3,WTD
421,Ranch Creek,2017,3,Moose
422,Ranch Creek,2017,3,Elk
424,Lake Audy,2017,3,WTD
425,Lake Audy,2017,3,Elk
427,Lake Audy,2017,3,WTD
429,Birdtail Valley,2017,3,Elk
430,Birdtail Valley,2017,3,Moose
431,Birdtail Valley,2017,3,WTD
434,Lake Audy,2017,3,WTD
437,Block,2017,3,WTD
438,Block,2017,4,Elk
440,Block,2017,2,Moose
444,Ranch Creek,2017,3,Elk
451,Lake Audy,2017,4,Moose
459,Block,2017,3,WTD
460,Birdtail Valley,2017,3,Moose
461,Birdtail Valley,2017,3,Moose
462,Birdtail Valley,2017,4,Moose
464,Lake Audy,2017,4,Moose
465,Birdtail Valley,2017,3,Moose
466,Lake Audy,2017,4,Elk
467,Lake Audy,2017,4,WTD
470,Birdtail Valley,2017,4,Elk
475,Lake Audy,2017,4,Moose
496,Birdtail Valley,2017,4,WTD
709,Block,2017,3,Elk
711,Lake Audy,2017,4,Elk
